,run,epoch,epoch_loss,epoch_score,epoch_duration,run_duration,lr,batch_size
0,train_1,1,89.89330829529173,0.43352318717201654,4035.389284849167,4035.3911497592926,0.03,64
1,val_1,1,29.563709984555768,0.7382381625000443,548.894332408905,4586.2779886722565,0.03,64
2,train_1,2,20.19707930439497,0.8202742620745432,3276.102216720581,7865.459388494492,0.03,64
3,val_1,2,13.805875016171395,0.8708617983614728,274.5163335800171,8142.00932264328,0.03,64
4,train_1,3,14.229097720826289,0.8701369604155519,2531.8339371681213,10676.931909799576,0.03,64
5,val_1,3,12.717529248963132,0.879178137141847,265.7321231365204,10944.70149064064,0.03,64
6,train_1,4,11.829974154267179,0.8922084196030384,1696.6696374416351,12644.41531252861,0.03,64
7,val_1,4,9.09602730924433,0.9186049777618045,118.28411865234375,12764.671006917953,0.03,64
8,train_1,5,10.409440357656592,0.9043567658271477,1093.5368928909302,13861.310575246811,0.03,64
9,val_1,5,8.451366261812298,0.9190279828547255,117.77089262008667,13981.049575328827,0.03,64
10,train_1,6,9.226551194779901,0.9154134818887395,1013.5861384868622,14997.653680562973,0.03,64
11,val_1,6,7.558263183020329,0.9262675524499067,118.08228826522827,15117.797437906265,0.03,64
12,train_1,7,8.459220109707806,0.9218308071768224,1013.3125817775726,16134.190626382828,0.03,64
13,val_1,7,7.833919905969781,0.9263289685711437,118.55747175216675,16254.70165514946,0.03,64
14,train_1,8,5.091707754728803,0.9512211124349004,1012.6420929431915,17269.278440713882,0.03,64
15,val_1,8,3.8689004715169637,0.9636224057326016,118.17547917366028,17389.400926828384,0.03,64
16,train_1,9,4.489330035756784,0.9565526723887301,1012.8104515075684,18405.33439064026,0.03,64
17,val_1,9,3.5753735697440554,0.966462532185839,118.61312484741211,18525.906074762344,0.03,64
18,train_1,10,4.101741037028007,0.9601909605885555,1012.9332218170166,19541.91572856903,0.03,64
19,val_1,10,3.4883637397863456,0.96698158910778,118.42541909217834,19662.347450256348,0.03,64
20,train_2,1,9.215549550799475,0.9378676435649607,1630.3749072551727,1630.4423666000366,0.03,88
21,val_2,1,7.429804152465965,0.9480260613687304,193.00089502334595,1825.4455032348633,0.03,88
22,train_2,2,8.701839833561689,0.9412025642303576,1209.787534236908,3037.1485204696655,0.03,88
23,val_2,2,7.149253962659522,0.950285779580147,120.67256879806519,3159.8151955604553,0.03,88
24,train_2,3,8.232614141833292,0.9434334346991063,1009.5954043865204,4171.36829161644,0.03,88
25,val_2,3,6.659962388997276,0.9543258197721696,118.55677151679993,4291.899961471558,0.03,88
26,train_2,4,7.698170733990734,0.9472056679067267,1006.3797698020935,5300.209290504456,0.03,88
27,val_2,4,6.281504987624654,0.956346826519154,118.37449765205383,5420.6324253082275,0.03,88
28,train_2,5,7.308063416983167,0.9503316884247921,1006.1450719833374,6428.726902723312,0.03,88
29,val_2,5,7.079073756279652,0.9523705219638937,118.71376323699951,6549.418834447861,0.03,88
30,train_2,6,6.942394866865792,0.9519056475413723,1006.2931368350983,7557.69713640213,0.03,88
31,val_2,6,6.060267161022415,0.9564861492073716,118.39783191680908,7678.184479236603,0.03,88
32,train_2,7,6.65823441957366,0.9538672401316853,1005.9838225841522,8686.186422348022,0.03,88
33,val_2,7,5.632715872570611,0.9633837733710697,118.4178900718689,8806.594077587128,0.03,88
34,train_2,8,3.9007765374781744,0.9714967740283983,1006.7513697147369,9815.236609220505,0.03,88
35,val_2,8,3.167485966526887,0.9776615062415108,118.50952076911926,9935.732854366302,0.03,88
36,train_2,9,3.348452632421092,0.9751391554229535,1006.1894071102142,10944.950253009796,0.03,88
37,val_2,9,3.0002008856993103,0.9798203038380344,118.28731799125671,11065.16803598404,0.03,88
38,train_2,10,3.1090864033354064,0.9771070911282485,1006.3984875679016,12074.672432661057,0.03,88
39,val_2,10,2.981565589007611,0.979467446798784,118.15483903884888,12194.806921720505,0.03,88
40,train_3,1,8.320575225305747,0.9606569628015721,1114.953678369522,1114.955244064331,0.03,128
41,val_3,1,5.749111515264541,0.9718423048220437,116.21985030174255,1233.266984462738,0.03,128
42,train_3,2,7.76789678045478,0.9625653439327334,936.9267225265503,2172.132259607315,0.03,128
43,val_3,2,6.446336076663325,0.9669777897778907,105.68199753761292,2279.8830013275146,0.03,128
44,train_3,3,7.422085917803396,0.9634589616198539,936.0788555145264,3217.9823751449585,0.03,128
45,val_3,3,5.502509345642675,0.9733068409717821,105.73179793357849,3325.8331985473633,0.03,128
46,train_3,4,7.0855953058873515,0.965472368443689,941.9349551200867,4269.750736951828,0.03,128
47,val_3,4,5.469361865482392,0.9719266150999195,105.725510597229,4377.51234292984,0.03,128
48,train_3,5,6.732390140632234,0.9668183399484179,937.1080150604248,5316.561036348343,0.03,128
